HS-2
     1.000000    0.000000
     0.995000   -0.000500
     0.990000   -0.000950
     0.980000   -0.001710
     0.950000   -0.003200
     0.900000   -0.004027
     0.850000   -0.003599
     0.800000   -0.002263
     0.750000   -0.000126
     0.700000    0.002773
     0.650000    0.006404
     0.600000    0.010667
     0.550000    0.015426
     0.500000    0.020537
     0.450000    0.025726
     0.400000    0.030639
     0.350000    0.035002
     0.300000    0.038486
     0.250000    0.040713
     0.200000    0.041343
     0.150000    0.039980
     0.100000    0.035880
     0.090000    0.034610
     0.080000    0.033140
     0.070000    0.031440
     0.060000    0.029478
     0.050000    0.027205
     0.045000    0.025927
     0.040000    0.024536
     0.035000    0.023014
     0.030000    0.021339
     0.025000    0.019475
     0.020000    0.017374
     0.015000    0.014965
     0.010000    0.012103
     0.009000    0.011457
     0.008000    0.010777
     0.007000    0.010058
     0.006000    0.009294
     0.005000    0.008474
     0.004000    0.007581
     0.003000    0.006583
     0.002000    0.005416
     0.001000    0.003914
     0.000500    0.002775
     0.000125    0.001388
     0.000000    0.000000
     0.000125   -0.001520
     0.000500   -0.003040
     0.001000   -0.004248
     0.002000   -0.006026
     0.003000   -0.007353
     0.004000   -0.008454
     0.005000   -0.009419
     0.006000   -0.010290
     0.007000   -0.011088
     0.008000   -0.011830
     0.009000   -0.012525
     0.010000   -0.013180
     0.015000   -0.016022
     0.020000   -0.018360
     0.025000   -0.020380
     0.030000   -0.022180
     0.035000   -0.023810
     0.040000   -0.025310
     0.045000   -0.026690
     0.050000   -0.027980
     0.060000   -0.030330
     0.070000   -0.032430
     0.080000   -0.034330
     0.090000   -0.036070
     0.100000   -0.037670
     0.150000   -0.044140
     0.200000   -0.048851
     0.250000   -0.052382
     0.300000   -0.054996
     0.350000   -0.056784
     0.400000   -0.057749
     0.450000   -0.057855
     0.500000   -0.057051
     0.550000   -0.055314
     0.600000   -0.052687
     0.650000   -0.049205
     0.700000   -0.044918
     0.750000   -0.039889
     0.800000   -0.034162
     0.850000   -0.027690
     0.900000   -0.020270
     0.950000   -0.011510
     0.980000   -0.005140
     0.990000   -0.002700
     0.995000   -0.001390
     1.000000    0.000000
