  -5.8262211444590643e-02	   5.3946902654867248e+00	
   2.6104620035902144e+00	   5.3805309734513269e+00	
   5.2795011494976825e+00	   5.3805309734513269e+00	
   7.9482253645324876e+00	   5.3663716814159290e+00	
   1.0797404969609175e+01	   5.4654867256637161e+00	
   1.3648474159921893e+01	   5.6495575221238941e+00	
   1.6678424085913147e+01	   5.8761061946902649e+00	
   2.0064245898025391e+01	   6.1026548672566383e+00	
   2.2913425503102072e+01	   6.2017699115044245e+00	
   2.5938651466003215e+01	   6.2159292035398233e+00	
   2.9140238717601488e+01	   6.1592920353982299e+00	
   3.2340251314836387e+01	   6.0318584070796462e+00	
   3.5183762164204957e+01	   5.8761061946902649e+00	
   3.8381885176203824e+01	   5.6637168141592920e+00	
   4.1757314269517842e+01	   5.4230088495575215e+00	
   4.4599565395395707e+01	   5.2106194690265495e+00	
   4.7440871728655551e+01	   4.9557522123893802e+00	
   5.0460428935848583e+01	   4.7150442477876107e+00	
   5.3124429187793297e+01	   4.4884955752212390e+00	
   5.5965735521053126e+01	   4.2336283185840706e+00	
   5.8629420842125150e+01	   3.9929203539822997e+00	
   6.1116115012754705e+01	   3.7946902654867256e+00	
   6.3602809183384245e+01	   3.5964601769911497e+00	
   6.5734261329638144e+01	   3.4265486725663705e+00	
   6.7865083614146698e+01	   3.2283185840707969e+00	
   6.9996535760400590e+01	   3.0584070796460168e+00	
   7.3727206878090257e+01	   2.7893805309734505e+00	
   7.5681982804774350e+01	   2.6761061946902651e+00	
   7.7280571914464772e+01	   2.5486725663716814e+00	
   7.8574026217576105e+01	   2.4543802387750842e+00	
   8.0102992440007711e+01	   2.3499350809723123e+00	
   8.1485863468399245e+01	   2.2338849056358980e+00	
   8.2650624180600246e+01	   2.1468472741335880e+00	
   8.3814997714725152e+01	   2.0424021163308153e+00	
   8.4979113130132689e+01	   1.9263519409944019e+00	
   8.5778764916592223e+01	   1.8161042744248088e+00	
   8.6650431825202247e+01	   1.6652390464874711e+00	
   8.7303601239545642e+01	   1.5259788360837745e+00	
   8.7810546400490310e+01	   1.3693110993796158e+00	
   8.8463328636757637e+01	   1.2126433626754578e+00	
   8.8605035812602154e+01	   1.0269630821371956e+00	
   8.8813244471288343e+01	   8.6108222382608024e-01	
   8.9073769089873338e+01	   6.0961267560003540e-01	
